inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
"InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3",0.709912925,4.152933925,3.353972054,2.984845232,2.976195026,3.174526035,2.884283437,3.158709105,3.15548904,3.035856819,2.832536147,3.557369016,2.434307882,2.682164778,3.277157987,3.10981601,3.206897241,3.035685347,3.33107843,3.192917196,2.95574607,3.245203857,2.901052003,3.338633803,3.091639394,3.146714956,3.099833352,3.143791086,3.091615424,3.137350715,2.342929737,3.150568635,3.178607793,2.728635618,3.15894298,3.043076303,3.486426202,3.38323588,3.32368484,3.113128739,3.716305716,2.901517105,3.240200328,2.969252708,2.990306851,2.755857255,2.845769721,3.680863217,3.339693481,3.072070035
"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",0.481988879,2.203016427,3.597370122,2.951594177,3.483835878,3.067678062,2.907162116,3.315296874,2.761421041,3.029326751,3.037398485,3.077708418,3.260660209,2.865374963,3.203952597,3.0648718,3.150159041,3.094913217,3.282750353,3.100761191,3.424998066,3.121694524,3.386405508,3.256116976,3.417128021,2.884842693,3.215972651,3.057124085,3.419299081,3.163666388,3.136400619,3.035121034,3.087797112,3.455997266,3.278843467,3.052903018,3.098808555,3.05074284,3.206128586,3.15364987,3.071053169,3.258756171,2.990263641,3.121888826,3.242841272,3.079046691,3.23080621,3.302255167,3.21225351,2.878863518
"InChI=1S/C7H12N4O2/c1-7(2,3)4-5(12)11(8)6(13)10-9-4/h8H2,1-3H3,(H,10,13)",0.451708941,2.192024684,3.642291293,3.174959684,3.101981044,2.849374099,3.039578153,3.435999597,2.72706563,2.887224426,3.143840306,2.971164315,3.547740131,3.15588892,3.167979978,3.104365172,3.171630022,2.996621124,3.182376884,3.159049839,3.456359167,3.042795391,3.542076253,3.175613682,2.994385297,3.194703892,3.302596498,3.238433416,2.935446223,3.163836904,2.928491087,3.049730856,3.054488688,3.156594556,3.302946862,3.026391261,3.143219459,3.08032068,3.184056795,3.266693317,3.00474082,3.337594218,3.023563755,3.097705862,3.18527442,3.210364212,3.247471026,3.166751953,3.300032428,2.964598289
"InChI=1S/C16H16N2O4/c1-11-5-3-6-12(9-11)18-16(20)22-14-8-4-7-13(10-14)17-15(19)21-2/h3-10H,1-2H3,(H,17,19)(H,18,20)",0.582963745,2.971565303,3.452359634,3.081174762,3.085460966,2.87106058,3.06842078,3.011181776,3.055407433,3.1235704,2.819851381,3.062831874,2.702892992,2.54468155,3.312691989,2.950741613,3.220207608,3.128351102,3.117987346,3.070975937,3.105720875,3.083109306,2.898048918,3.283172782,3.393418718,2.941744259,2.825659665,3.015303737,3.18504115,3.030251542,2.840648285,3.560530784,3.33659221,2.753959749,3.217479531,3.051920123,3.406211504,3.278106876,3.29062829,3.359632985,3.103636202,3.13644603,3.073071758,3.174772432,2.966161811,3.342899991,3.256692044,2.876070734,3.050563641,3.197244124
"InChI=1S/C17H13ClFN3O/c18-15-4-2-1-3-14(15)16-17(23-16,9-22-11-20-10-21-22)12-5-7-13(19)8-6-12/h1-8,10-11,16H,9H2",0.6330461,3.813100306,4.022129259,3.252193115,3.170199536,3.030985425,3.034378995,3.025900298,3.273500069,3.171606121,2.916032421,3.247021848,2.708630268,2.849238942,3.115223651,3.325315337,3.089725603,3.552133022,3.305478809,3.099630439,3.283633687,3.521919945,3.120922948,3.008933377,3.038843246,2.61969474,3.269301777,3.303419663,3.173590598,3.093153484,3.572011738,2.695914287,3.11214957,2.429975357,3.825179881,3.362280483,3.427363578,3.134702525,3.239592182,3.321714356,2.906087205,2.570664556,3.426601565,3.237472711,3.372879016,3.362834209,2.973686817,3.213735385,2.978969883,3.613834399
"InChI=1S/C16H15F2N3Si/c1-22(12-21-11-19-10-20-21,15-6-2-13(17)3-7-15)16-8-4-14(18)5-9-16/h2-11H,12H2,1H3",0.511366254,3.01564508,3.973616255,3.336637375,3.230869117,3.173212638,2.935430626,3.079907048,3.27415807,3.379104456,2.730341919,3.241926178,2.694079557,2.640663935,3.242140767,3.158971864,3.166508221,3.326066734,3.311217374,3.101688383,2.921457287,3.210506531,2.938350427,2.975676745,3.177069067,3.058538269,2.918639849,3.104870604,3.026435391,3.027505344,2.968843302,2.907171235,2.95911732,2.868940257,3.460015901,3.290393326,3.162986375,3.311635912,3.24796634,3.154577775,3.121847595,3.247201028,3.401550806,2.826178834,3.115068501,3.161076737,2.867949891,3.065171762,2.86900488,3.322494972
"InChI=1S/C14H21NO5S/c1-4-11-7-6-8-12(5-2)14(11)15(10-20-3)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)",0.621194292,2.419803549,3.305549281,3.103804545,3.372736109,3.340913111,3.291071303,2.996155975,3.018093477,3.110347288,3.156234299,3.27539833,2.641204748,2.5339491,3.268006768,2.845904617,3.335861048,3.131136704,2.970096935,3.062432043,3.578325898,3.136977996,3.182094097,3.300036735,3.680265722,2.934863597,3.125413542,3.078739769,2.806268453,3.144914841,3.021100828,2.979182067,3.137536694,3.167236046,3.215610522,3.459086558,3.260568326,3.115521837,3.132850957,3.221513047,2.849839678,3.367145458,3.25500533,3.192110488,3.310239263,3.260985642,3.210919197,2.983947437,3.189539212,2.915200716
"InChI=1S/C14H19NO4/c1-4-10-7-6-8-11(5-2)12(10)15(9-19-3)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)",0.590040872,2.306401144,3.419823266,3.213812754,3.105608696,2.973325439,3.251283393,3.022920911,2.978406534,2.883013691,3.310704337,2.937644296,3.027453658,2.916923083,3.189145739,2.846059306,3.327825512,3.046395265,3.039912434,3.152767169,3.371724431,3.128373758,3.108327152,3.359137593,3.557442946,3.142649936,3.323211394,2.88141469,3.40314271,3.14281358,3.221189684,2.861587203,3.225052847,3.149362758,3.121441356,3.031594019,3.031755392,3.329340346,3.099683427,3.166108036,3.169859096,3.149131494,3.225221373,3.177876231,3.230667556,3.136735271,3.26441105,3.071307936,3.232114272,2.901707178
"InChI=1S/C14H19NO4/c1-4-11-8-6-7-10(3)12(11)15(9-19-5-2)13(16)14(17)18/h6-8H,4-5,9H2,1-3H3,(H,17,18)",0.582464772,2.308605565,3.403746055,3.229160247,3.095068307,2.975149722,3.245348667,3.026307986,2.956940794,2.904864181,3.298928041,2.941733502,3.068394907,2.929752977,3.190648271,2.835772979,3.335476503,3.081955496,3.037643201,3.159732131,3.38141963,3.150482269,3.101620955,3.328930325,3.56361747,3.13695598,3.303571495,2.894428147,3.380365694,3.115280248,3.26451876,2.854608458,3.207411469,3.162176168,3.103973663,3.042812777,3.007018568,3.310185721,3.106940429,3.172465135,3.184437431,3.14137042,3.267049661,3.155283205,3.239392646,3.183099038,3.257472879,3.04601898,3.241143144,2.915716282
"InChI=1S/C14H21NO5S/c1-4-12-8-6-7-11(3)14(12)15(10-20-5-2)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)",0.613618192,2.42200797,3.28947207,3.119152038,3.36219572,3.342737394,3.285136577,2.999543051,2.996627737,3.132197778,3.144458003,3.279487535,2.682145997,2.546778994,3.269509299,2.835618289,3.343512039,3.166696935,2.967827703,3.069397005,3.588021096,3.159086507,3.1753879,3.269829466,3.686440245,2.929169641,3.105773643,3.091753226,2.783491437,3.11738151,3.064429905,2.972203321,3.119895316,3.180049455,3.19814283,3.470305315,3.235831503,3.096367211,3.140107959,3.227870147,2.864418012,3.359384384,3.296833618,3.169517462,3.318964353,3.30734941,3.203981025,2.958658481,3.198568083,2.929209821
"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",0.465117715,2.291141478,3.477338344,3.215401475,3.137227902,2.998058479,3.290897081,3.013955717,2.981873448,2.925346971,3.268067175,2.946939751,3.054507927,2.919099664,3.151131111,2.834782666,3.331741064,3.004614117,3.082084966,3.220852903,3.391397016,3.178887019,3.119798591,3.327809362,3.551940654,3.123399792,3.292426117,2.918835318,3.391901356,3.130028069,3.264910388,2.875734688,3.165991437,3.162984794,3.1062354,3.045177587,3.017557378,3.304894029,3.149412527,3.175294543,3.167969244,3.111281615,3.296911152,3.135656928,3.257436125,3.186656431,3.230787828,3.029333396,3.288017322,2.871201256
"InChI=1S/C19H23N3/c1-14-6-8-18(16(3)10-14)20-12-22(5)13-21-19-9-7-15(2)11-17(19)4/h6-13H,1-5H3",0.455168446,2.638412255,4.084566764,2.95516166,3.110623293,2.802946868,3.016157886,3.284443712,2.888972087,3.095070902,2.656386032,2.998422229,2.92746515,2.71891891,3.204550318,2.947189388,3.295803743,3.11633046,3.213333767,2.913386386,3.147299494,3.0664254,3.38947608,3.174200441,3.183543542,3.087414547,3.14245983,2.995100368,3.733412542,3.107845687,3.443217471,3.374549965,3.255874511,2.937592991,3.160020999,2.534340804,3.405647545,3.463010277,3.395329068,3.219786928,3.034734824,3.255617862,3.186961156,3.113804058,3.096139216,3.213507893,2.922708784,3.014803622,3.124303698,3.037313199
"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)",0.33388353,1.782996277,3.146690147,3.146793467,3.038459699,3.1834674,3.518167295,3.492408102,2.976890923,2.924771966,3.710726395,3.48023374,3.4726603,3.53162653,2.954469822,3.294812196,3.092970094,3.218406201,3.238467052,2.988889932,2.901382501,3.124353698,3.380473338,2.893524322,2.981899395,3.212774697,3.262723624,3.26602386,3.092334482,3.126412253,2.975735395,3.280506137,3.157727892,3.069105752,3.17780212,3.095679686,3.485976129,3.205651421,3.244042007,3.232438975,3.095477862,3.164953195,2.936723771,3.233852239,2.970663553,3.195784168,3.341903526,3.119621044,3.282729196,3.212129727
"InChI=1S/C19H11F5N2O2/c20-12-6-7-16(15(21)10-12)26-17(27)14-5-2-8-25-18(14)28-13-4-1-3-11(9-13)19(22,23)24/h1-10H,(H,26,27)",0.631522959,3.494409139,3.816464641,3.117343575,3.018264049,2.853233756,2.842276007,2.923912276,3.27075611,3.232881867,2.858309261,3.357986604,2.582462099,2.851154828,3.228458944,3.09713526,3.178163909,3.140340601,3.216775041,3.164322379,2.932548815,3.181063352,2.854487918,3.12337421,3.281213354,2.915113926,2.907640156,3.005609454,3.165969196,2.975002802,2.751520513,3.02227411,3.088554709,2.743581414,3.326202541,3.22451107,3.345786772,3.501440891,3.377926838,3.463812692,3.170608659,3.207083414,3.30558694,2.929506393,3.049615509,3.11003338,2.959238592,3.087176117,3.105587886,2.986706316
"InChI=1S/C11H12O5S/c1-11(2)8-6-7(16-17(3,13)14)4-5-9(8)15-10(11)12/h4-6H,1-3H3",0.352481592,3.260273241,3.387952833,3.055152873,3.300386817,2.725230075,2.75528488,2.995263248,3.086096794,3.303762211,3.106656406,3.174501224,2.807811947,3.03508318,3.264091171,3.091838777,3.229711386,2.831523568,3.079585536,3.11066319,2.970455952,2.910653133,2.994651323,3.323126429,3.246540988,3.418268038,3.152800135,3.141651131,3.115023603,3.411295343,3.366433216,3.532705407,3.080320157,3.907299826,3.207588913,3.271657972,3.19582438,2.912689661,3.028916938,2.932145534,3.071205837,3.162653714,3.060248928,3.073345754,3.382265292,3.383292713,3.340495405,3.182231134,3.400261258,3.258386758
"InChI=1S/C13H4Cl2F6N4O4/c14-6-1-4(12(16,17)18)3-22-11(6)23-9-7(24(26)27)2-5(13(19,20)21)8(15)10(9)25(28)29/h1-3H,(H,22,23)",0.661824032,2.89516926,3.720673772,3.159510504,3.097401475,3.334419554,2.937310083,3.211850114,3.157913302,3.417341614,2.423435769,3.592093672,2.600872849,2.479449888,3.441476097,2.919376044,3.280988216,3.072380582,2.936665115,2.941163104,3.503857764,3.064252882,3.384952596,3.021098283,3.236576288,2.640398569,2.803034135,3.215786486,2.69411235,2.980610122,3.183195642,3.443744562,3.21619915,2.917803614,3.261725846,2.612824565,3.341723901,3.453653156,3.377957142,3.229873783,2.993813811,3.141966968,3.090300337,2.844111764,3.181423635,3.249747979,2.933769009,3.181657063,3.531993088,2.600366177
"InChI=1S/C17H21NO2/c1-4-18(5-2)17(19)13(3)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-13H,4-5H2,1-3H3",0.45468209,3.184681756,3.588770667,3.09254692,3.102005962,2.703238249,2.943879071,2.790232412,3.07854423,3.242718348,3.12163801,3.046381872,2.683274471,3.266152931,3.174784129,2.954819996,3.371410886,2.784071907,3.04555536,3.198186851,2.843587939,3.050573975,2.841598096,3.302251014,3.346061501,3.509781235,3.296662836,2.994601973,3.350426376,3.346714057,3.360566656,3.476083934,3.253576402,3.455147228,2.862181407,2.979251238,2.967792822,3.103733856,3.06787542,2.802710466,3.299781438,3.002510024,3.425749025,3.052382528,3.282530732,3.444414799,3.249791611,2.860034123,3.005059909,3.259253424
"InChI=1S/C22H22ClN3O5/c1-14(2)26-29-11-10-28-22(27)15(3)30-17-5-7-18(8-6-17)31-21-13-24-20-12-16(23)4-9-19(20)25-21/h4-9,12-13,15H,10-11H2,1-3H3",0.772897942,4.191236779,3.438861481,3.100889235,3.075018711,3.197176417,2.694825992,3.140014294,3.422757659,3.642396414,2.863944548,3.694383945,2.554575497,3.253658681,3.427944103,3.053789052,3.38604009,2.658019604,2.997614708,3.121392493,2.834326302,3.108747377,2.953682676,3.25112785,3.312816223,3.205866859,2.942042956,3.206964413,2.847618075,2.969665427,2.482901954,3.068482213,3.168781411,2.985904677,2.924381523,3.232535243,3.20759035,3.28068272,3.235408503,2.804964826,3.740932026,2.789617368,3.431701546,2.914271513,3.01902996,3.010365348,3.089712303,3.355040595,3.198824313,3.301984048
"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",0.567534938,2.333862804,3.428089969,3.2668847,3.214663553,3.328692904,3.308958919,3.110662218,2.986732966,3.190584197,3.02201264,3.300044274,2.636384566,2.505120766,3.242525174,2.891786268,3.391835238,3.076431394,2.98624997,3.082164485,3.60627538,3.144778611,3.327899231,3.192790203,3.64963367,2.858358477,3.158722042,3.029518567,2.889701508,3.101843871,3.050939479,2.932778556,3.114162602,3.069319959,3.194150753,3.26111078,3.155296441,3.215675232,3.14500974,3.27905483,2.698359849,3.33992167,3.21722663,2.943846058,3.294625082,3.486782118,3.121366806,2.839004231,3.250153563,2.742878346
"InChI=1S/C12H13N5O6S2/c1-6-13-10(16-12(14-6)23-3)15-11(19)17-25(20,21)7-4-5-24-8(7)9(18)22-2/h4-5H,1-3H3,(H2,13,14,15,16,17,19)",0.707385339,2.719028688,3.721006589,2.679910337,3.717231692,3.367349849,2.533007417,3.623722464,2.545965703,3.33161768,2.506901275,3.642296297,2.788690789,2.218411125,3.316939011,2.927097447,3.166056077,3.298951143,3.190088186,2.726884885,3.357479286,3.119256739,3.558755921,3.029561087,3.438544415,2.830479722,3.057233862,3.250906763,3.142030639,3.2449041,3.000538124,3.662851691,3.265334785,3.202935713,3.356090566,3.192988522,4.097007865,2.442435824,3.758767843,3.0824569,2.86279394,3.533375772,3.133398061,3.544577288,2.91292417,3.161929407,3.303043312,3.509841174,2.614385232,3.307336721
"InChI=1S/C5H8N4O/c1-3-7-4(6)9-5(8-3)10-2/h1-2H3,(H2,6,7,8,9)",0.320533249,2.131608985,3.777190404,3.037025073,3.058626875,2.886328032,2.989111382,3.683341976,2.600670852,2.908011278,2.951104256,3.081672856,3.64744677,3.154184203,3.112235966,3.049180055,3.175838883,3.019935744,3.177850692,3.063586398,3.442846313,3.172506398,3.742255183,3.127166521,3.018369066,3.229108191,3.430622001,3.1873333,3.306839716,3.165803069,2.65177838,3.089865923,3.191249023,2.949978729,3.068769968,2.870034549,3.446843219,2.846057168,3.433301302,3.036735496,3.026301181,3.273694167,3.124407601,3.079982866,2.920494681,3.235142911,3.124713475,3.114174275,3.148971574,3.298819509
"InChI=1S/C8H9NO4S/c1-13-8(10)6-4-2-3-5-7(6)14(9,11)12/h2-5H,1H3,(H2,9,11,12)",0.311772409,2.377228748,3.330486051,2.969769101,3.329913693,2.87930602,3.113406352,2.963537063,2.995201843,2.877380969,3.222333472,3.189165106,3.057512616,2.816032865,3.299143396,2.939790217,3.209965777,3.106621449,3.063238441,3.156436001,3.537741964,3.183794178,3.093103348,3.428190352,3.354430404,2.873490613,3.222014557,3.171748294,3.031117516,3.313508967,3.53289807,2.84883333,3.058139067,3.603105871,3.452807131,3.483017949,3.491045455,2.955049303,3.16948549,3.058938571,3.11114859,2.913812956,3.131512078,3.307242042,3.174590321,3.027675412,3.114443905,3.285644718,3.107452884,3.018698164
"InChI=1S/C14H15N5O6S/c1-8-15-12(18-14(16-8)25-3)17-13(21)19-26(22,23)10-7-5-4-6-9(10)11(20)24-2/h4-7H,1-3H3,(H2,15,16,17,18,19,21)",0.670038098,2.918097832,3.733690264,2.792085312,3.329227713,3.183921017,2.779336778,3.633455054,2.595282606,3.243339163,2.485948037,3.556298797,2.644648623,2.297108872,3.311853235,2.96406596,3.266463247,3.228441678,3.155690857,2.770868862,3.391216646,3.148559155,3.542214851,3.091360918,3.290644136,2.840539657,3.225125049,3.289791219,3.223323001,3.230504602,3.210892207,3.463940107,3.277248226,2.860607141,3.296661296,3.163489799,4.047278527,2.506809629,3.561631588,3.115330791,2.738098527,3.211428012,3.008227029,3.369362229,2.752963724,3.228685311,3.125068564,3.184750785,2.948759683,3.420506508
"InChI=1S/C15H18N6O6S/c1-21(2)13(22)9-6-5-7-16-12(9)28(24,25)20-15(23)19-14-17-10(26-3)8-11(18-14)27-4/h5-8H,1-4H3,(H2,17,18,19,20,23)",0.931209382,3.036322862,3.748320396,2.907666326,3.204400955,3.723991372,2.415615823,3.628126782,2.923567726,3.421885615,2.514068621,4.059656901,2.685690466,2.369685255,3.465380131,2.961696849,3.348110726,3.001745499,3.047427223,2.779081583,3.378481086,2.940894785,3.585942152,3.129120531,3.28420428,2.9676879,3.041915986,3.308496551,2.783561025,3.229763792,2.790544341,3.583311468,3.263999368,2.856142529,3.142572718,2.904289762,3.531019956,3.181171214,3.200085173,2.983834914,3.262689032,2.963960526,2.959003873,3.39533576,3.125063047,2.532862609,2.936692592,3.642768844,3.334102563,3.033174309
"InChI=1S/C14H17N5O7S2/c1-4-27(21,22)9-6-5-7-15-12(9)28(23,24)19-14(20)18-13-16-10(25-2)8-11(17-13)26-3/h5-8H,4H2,1-3H3,(H2,16,17,18,19,20)",0.885737401,2.933614691,3.650000474,2.598453175,3.766376965,3.853186853,2.281696389,3.440052064,2.888716781,3.463294355,2.585375231,4.173884726,2.66844541,2.22698329,3.434040052,2.772313742,3.239483387,3.093147704,2.930739893,2.682033628,3.450858603,3.041392505,3.607952051,3.036098361,3.422744124,2.879294518,2.89181938,3.364455416,2.464509702,3.268654038,2.921517105,3.6461963,3.225487086,3.348493189,3.147532826,3.117633901,3.894459371,2.995280752,3.427003278,2.983744753,3.219116258,3.016242839,3.175555701,3.252817587,3.105159408,2.794195768,3.158876846,4.08282561,2.936381255,2.879675909
