inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166
"InChI=1S/C27H30O17/c28-6-14-17(33)20(36)22(38)26(42-14)41-12-2-1-8(3-10(12)31)24-25(19(35)16-11(32)4-9(30)5-13(16)40-24)44-27-23(39)21(37)18(34)15(7-29)43-27/h1-5,14-15,17-18,20-23,26-34,36-39H,6-7H2",3.831462684,1.412720806,1.446284941,1.468520934,0.97139952,1.506733935,1.475709144,1.354210445,1.499590451,1.103623873,1.322872374,1.343502328,1.213183312,1.360679336,1.182599053,1.32754774,1.348454922,1.222928271,1.297524555,1.150415909,1.344482614,1.223825816,1.298830865,1.337790696,1.265977974,1.267472883,1.334874092,1.244836669,1.282915417,1.270382372,1.29166698,1.300213383,1.305494671,1.295097954,1.37884173,1.315336412,1.251301468,1.349272624,1.22966316,1.262722145,1.339910213,1.263153331,1.287710645,1.277637888,1.2686926,1.270124203,1.319129307,1.329961345,1.258774821,1.327926463,1.288952941,1.269965543,1.337807446,1.258946646,1.299930271,1.33861139,1.273461659,1.299412917,1.342191523,1.318075872,1.318000364,1.243373149,1.268566622,1.328433238,1.283969397,1.359013585,1.342458922,1.31572258,1.281505366,1.297127692,1.298784731,1.274643699,1.301442431,1.312361077,1.303793243,1.317929626,1.29819968,1.30774706,1.292991517,1.278420733,1.304132636,1.333701518,1.296258899,1.279678221,1.289826656,1.297090333,1.309437669,1.292601341,1.284944832,1.331046436,1.297650317,1.310061578,1.304259818,1.268061806,1.302655063,1.298397198,1.297048898,1.302163404,1.324624695,1.291505746,1.291370871,1.293911561,1.29878225,1.281097303,1.299306895,1.29072067,1.294714423,1.291759361,1.287586792,1.291889512,1.296372508,1.299041013,1.292636935,1.297300264,1.292346866,1.299409021,1.293235169,1.290997946,1.296164785,1.294322798,1.298314191,1.298332648,1.295133551,1.291676019,1.295549697,1.295128515,1.295060508,1.296887703,1.294808886,1.296243818,1.294563891,1.295552828,1.295303008,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)",2.948660736,1.151435316,1.282345093,1.50205707,0.900151819,1.214155263,1.392834611,1.36179969,1.12279041,1.23799465,1.214243653,1.425237287,1.42809707,1.348799203,1.315007239,1.307653516,1.268804208,1.22674259,1.433221562,1.067885824,1.390698337,1.245911321,1.197153658,1.351787877,1.353868085,1.357120521,1.344285649,1.286496951,1.192218045,1.330942173,1.283433027,1.250761302,1.333370731,1.416111863,1.275000905,1.325559517,1.263405528,1.384767937,1.249051266,1.308935724,1.288073702,1.273518535,1.278536893,1.360071009,1.305939381,1.285693976,1.293824812,1.308772733,1.268149484,1.337775356,1.294040121,1.312010777,1.305924735,1.239454402,1.28215769,1.245722519,1.303008267,1.292356213,1.299995363,1.302004784,1.313265912,1.281981442,1.291323314,1.316318294,1.315780714,1.307033241,1.307766476,1.281100909,1.327248125,1.290001957,1.308939822,1.298872553,1.282898265,1.30518401,1.300164607,1.322131062,1.295319426,1.302912282,1.297770789,1.294137755,1.304455345,1.304615625,1.285279026,1.281154193,1.277361212,1.313757265,1.303905377,1.294139515,1.290926131,1.324022908,1.299527187,1.315248984,1.314686681,1.268516034,1.300173781,1.302161568,1.295520525,1.301378409,1.32717871,1.288573746,1.284679248,1.284250355,1.29619871,1.288939487,1.309071705,1.294864357,1.305278875,1.300834007,1.29108369,1.295052189,1.297023396,1.301520139,1.295041922,1.299493984,1.292714306,1.300708517,1.294560826,1.293395014,1.295818793,1.293151572,1.297886704,1.296335206,1.291244774,1.294237217,1.295903448,1.295392981,1.295782663,1.295508511,1.295139072,1.295805509,1.295629831,1.295384611,1.2954028,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C30H24O12/c31-13-7-20(37)24-22(8-13)41-30(12-2-4-16(33)19(36)6-12)29(39)26(24)25-23(42-30)10-17(34)14-9-21(38)27(40-28(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,21,26-27,29,31-39H,9H2",3.172955014,1.008022044,1.465996237,1.323598443,0.955852835,0.742462293,0.887066186,1.066963476,1.370225442,1.27076974,1.451931105,1.204675377,1.842861485,1.606214202,1.387052255,1.145776639,1.299711151,1.136644338,1.480144594,1.16255692,1.403505902,1.378347295,1.386603927,1.266667756,1.367842807,1.542996928,1.423862942,1.550146178,1.536792381,1.090331589,1.29915007,1.376359316,1.20794492,1.44442216,1.168125004,1.175940485,1.401565582,1.387334135,1.434041803,1.29061567,1.264509627,1.322897147,1.380305589,1.246201808,1.312984386,1.199250533,1.144412412,1.269004095,1.33674481,1.355050339,1.342646429,1.163807151,1.411285163,1.314021459,1.291838108,1.326249601,1.262893665,1.384249886,1.228224389,1.309610573,1.319578556,1.272427606,1.312251691,1.34191912,1.354036866,1.353382407,1.330992781,1.380439081,1.457345988,1.428171364,1.26142636,1.26558187,1.289180947,1.314736087,1.373716756,1.251227996,1.261269882,1.47454055,1.231995782,1.212966287,1.289094038,1.297090735,1.317304045,1.301923693,1.286312453,1.25219487,1.273685789,1.277805308,1.341751395,1.326771659,1.264053312,1.318517608,1.304739239,1.327674816,1.314156441,1.28711063,1.292741916,1.298668717,1.283757372,1.274241649,1.324760213,1.28240341,1.294995222,1.298686903,1.306896487,1.279703772,1.316672007,1.324103656,1.275503862,1.307783234,1.293738571,1.309759305,1.299849812,1.294886594,1.28657147,1.273734102,1.305503616,1.312867582,1.299294974,1.284202061,1.299724333,1.276075076,1.304521109,1.316062202,1.296700526,1.293400687,1.303244085,1.282079542,1.295964637,1.296243963,1.295175008,1.295804965,1.296254493,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C16H12O7/c1-22-8-5-11(19)13-12(6-8)23-16(15(21)14(13)20)7-2-3-9(17)10(18)4-7/h2-6,17-19,21H,1H3",1.943638313,0.965829452,1.157640207,1.400588992,0.9715297,0.971502444,1.152281506,1.31384473,1.255705759,1.412641595,1.297925951,1.182197348,1.471656564,1.403957813,1.338755187,1.205571292,1.333232482,1.309162177,1.324209879,1.277388386,1.353641094,1.231692109,1.371162551,1.370306631,1.344866202,1.32733091,1.280101511,1.346694045,1.29965578,1.313564873,1.340843514,1.214156447,1.34430677,1.311470982,1.273674876,1.302217406,1.342332076,1.242461052,1.349825621,1.303895998,1.237070442,1.310163641,1.272566314,1.340352118,1.332093849,1.321680816,1.279502765,1.284963478,1.316438392,1.326129115,1.311938664,1.275500955,1.350036855,1.246076492,1.303423337,1.213934205,1.248433476,1.33357255,1.27791822,1.309629418,1.306965371,1.288408401,1.285806762,1.300169785,1.318448989,1.284403538,1.285381453,1.275823984,1.298586368,1.29987714,1.303205325,1.307258201,1.287189753,1.2838007,1.312577632,1.324476111,1.298764986,1.306350668,1.305007173,1.31594433,1.27976764,1.28991254,1.279324476,1.297397401,1.28113493,1.305540069,1.310767773,1.316768933,1.29964862,1.291347337,1.303359924,1.302895326,1.300189645,1.283648366,1.301954338,1.293949723,1.294909537,1.304587605,1.321378702,1.297506808,1.295601843,1.282717674,1.294571808,1.297065026,1.298805873,1.299368462,1.298698122,1.299058685,1.301624672,1.297167781,1.294228245,1.296227705,1.299124621,1.303555064,1.295137004,1.300079269,1.288175922,1.288413305,1.294640115,1.295073621,1.296629585,1.294863277,1.289991589,1.296600434,1.295085105,1.295716566,1.296092587,1.294708267,1.295966251,1.295707945,1.296093651,1.295398899,1.295604718,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)",1.70825816,1.254653148,2.266487164,0.740245441,1.300041435,1.493710462,1.296147067,0.961533954,1.03416981,1.033575858,1.247711317,1.094080168,1.198624276,1.593990995,1.111047265,1.266196691,1.144675985,1.377751225,1.218701125,1.240752508,1.440297833,0.843833246,1.22868387,1.307014865,1.048142197,1.338867079,1.329253844,1.494895567,1.526938989,1.219703462,1.197944203,1.435466628,1.29114292,1.256142166,1.314206471,1.179282275,1.263597649,1.431607174,1.394716003,1.370108491,1.348558119,1.364768114,1.349315696,1.173471321,1.300712512,1.382056517,1.40698571,1.223027381,1.33212281,1.243121592,1.228497943,1.236783488,1.280864863,1.227327032,1.265454903,1.21145113,1.238459792,1.231169996,1.184872263,1.224711964,1.297205403,1.453098857,1.291105352,1.308939849,1.334018859,1.296030519,1.338617242,1.400314884,1.314303248,1.418641072,1.324397735,1.263568414,1.353736382,1.322342134,1.285281179,1.275900682,1.26026916,1.246116475,1.24298348,1.352854957,1.307915815,1.289605943,1.319881657,1.312739522,1.343286672,1.290833421,1.303494082,1.317155307,1.250989825,1.274563982,1.335848643,1.29473935,1.272908115,1.297021099,1.299930119,1.338212989,1.283481822,1.324156803,1.305798358,1.297620877,1.25823306,1.297751895,1.329472077,1.285822383,1.31152072,1.291022669,1.285963419,1.27685248,1.288183615,1.308970444,1.275317506,1.279279356,1.296393224,1.286238886,1.287545537,1.299951701,1.292390795,1.301899922,1.299755489,1.294470638,1.296766009,1.289583374,1.294609676,1.297573725,1.291327089,1.300290493,1.295097937,1.300644494,1.297220532,1.294818186,1.29667694,1.294036551,1.295885874,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11/h1-8,16,19-22H,9H2,(H,24,25)",1.696702321,1.03389523,0.973340485,1.520774208,1.042242819,1.398778013,1.421845206,1.270573242,1.076081747,1.368487485,1.215024169,1.375653881,1.483744767,1.385992646,1.413652043,1.361967229,1.330817103,1.191864819,1.330954967,1.305772346,1.369266866,1.158263049,1.283174244,1.264249955,1.303362563,1.289171684,1.351750458,1.218731672,1.189204599,1.378725497,1.198108552,1.38032361,1.277732541,1.326376249,1.108082232,1.241102499,1.360636828,1.238583803,1.393343763,1.402275,1.252498434,1.393454863,1.290947564,1.303024382,1.301269273,1.387169181,1.234063632,1.332658602,1.37488928,1.355610997,1.300624181,1.265046338,1.356741471,1.238725048,1.272352282,1.274338977,1.24535841,1.264092776,1.349941771,1.347086856,1.335524748,1.292436383,1.316393118,1.284582956,1.285840494,1.292082978,1.28479195,1.311081567,1.338952619,1.335173154,1.240386265,1.298565818,1.349618708,1.280713906,1.317406806,1.25667983,1.299258727,1.301258157,1.276120433,1.316115046,1.301657085,1.314633439,1.327030609,1.30405641,1.28392885,1.311112043,1.291435466,1.309720019,1.279112537,1.295446968,1.2929467,1.293482882,1.28318234,1.306067053,1.310919807,1.299995683,1.279498284,1.307626313,1.316267693,1.281511524,1.309340255,1.290504401,1.295015303,1.288032548,1.300489007,1.294410477,1.293392389,1.301934634,1.290453442,1.305612257,1.295065895,1.29576869,1.2964883,1.298348409,1.295620718,1.296079756,1.296805475,1.292538757,1.29446094,1.297246086,1.294648921,1.295674972,1.296364676,1.296137024,1.294890302,1.295765645,1.295471544,1.295435254,1.295797328,1.295186561,1.29658912,1.295451496,1.295644189,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C16H14O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-7,14,17-18H,8H2,1H3",1.648344478,0.97735355,1.093388116,1.359032963,1.085103973,1.035266843,1.137938619,1.294215872,1.235052042,1.313117701,1.353323574,1.197868555,1.454635998,1.363654321,1.402920051,1.249617278,1.269347041,1.347046538,1.267072195,1.392493335,1.297813705,1.29218357,1.387679606,1.300009451,1.32410492,1.27715909,1.190710759,1.392849772,1.391125919,1.250456911,1.393745164,1.253670385,1.370949294,1.211794427,1.320200999,1.337326043,1.347092746,1.289037525,1.309412432,1.248225121,1.313043266,1.272070003,1.283667892,1.271309908,1.325064959,1.284511251,1.329603263,1.290258996,1.270895453,1.284094469,1.33500049,1.261790232,1.3379819,1.30291585,1.327148322,1.219940785,1.320896054,1.327411915,1.2966616,1.317487413,1.252494023,1.280267092,1.280475065,1.283502818,1.350982055,1.263954608,1.275910238,1.27425105,1.272092314,1.296993201,1.316788234,1.328755996,1.312636826,1.266158405,1.302077135,1.303191562,1.306791396,1.311434113,1.312463378,1.337071569,1.259137033,1.284529931,1.274556926,1.340344865,1.305760669,1.281550214,1.27337794,1.294355309,1.316287191,1.264024745,1.28617461,1.309095555,1.299093158,1.313750457,1.29885828,1.305291438,1.284416662,1.2697315,1.281038966,1.327198679,1.295161179,1.298700477,1.299682447,1.292841277,1.296575079,1.293180537,1.289581123,1.299383404,1.299968861,1.297789295,1.286239254,1.299193237,1.288230565,1.28291471,1.292613831,1.285014496,1.304975446,1.305705189,1.29927217,1.297097476,1.296502213,1.2967967,1.297024374,1.295611773,1.295742944,1.294053345,1.29486543,1.294614214,1.295664418,1.295105764,1.294900048,1.295031428,1.295567117,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C20H36O2/c1-7-18(4,21)13-9-16-19(5)12-8-11-17(2,3)15(19)10-14-20(16,6)22/h7,15-16,21-22H,1,8-14H2,2-6H3",1.150283821,1.318640343,0.670903122,0.993669184,2.289807749,1.137554425,1.039076852,1.424182943,1.495059524,1.307756136,1.094208405,1.302605227,1.253528529,1.416806342,1.112129852,1.240911862,1.24022068,1.337873799,1.378993781,1.414516266,1.413115384,1.166830676,1.353820692,1.320233121,1.458185484,1.306492804,1.291514651,1.421023984,1.218064547,1.323793482,1.284260487,1.24862312,1.334694066,1.326190114,1.194910406,1.281489364,1.417689666,1.127112467,1.209743367,1.265934454,1.353310891,1.287519435,1.393894976,1.379463011,1.35656871,1.362297014,1.195575243,1.46690499,1.273778336,1.240138629,1.238363052,1.336883708,1.210547911,1.350478137,1.255663781,1.171743558,1.0522194,1.301764004,1.244352653,1.300527674,1.274804819,1.123932333,1.351633557,1.273443644,1.419693483,1.210702555,1.45873312,1.285688926,1.300095738,1.323362031,1.393209583,1.257560478,1.336069186,1.303398267,1.288010821,1.275034291,1.313375032,1.35338456,1.239626262,1.26962065,1.290701803,1.267889565,1.314450718,1.29259233,1.322623344,1.280814385,1.28030921,1.288622184,1.295524928,1.312979148,1.32088523,1.358588644,1.333220921,1.327522957,1.287933535,1.299161279,1.297576192,1.311794849,1.26914092,1.255032357,1.316727997,1.302626366,1.319346713,1.343101267,1.318033742,1.297519285,1.301920648,1.32123111,1.33033601,1.286612007,1.272615243,1.266083373,1.323282126,1.309018109,1.282042595,1.293609316,1.294171882,1.303959691,1.291261007,1.300926539,1.294321262,1.293027371,1.300959819,1.294501321,1.295539546,1.294725381,1.293075861,1.296596737,1.295575957,1.295613409,1.295768533,1.295207564,1.295415017,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",1.376445058,0.917635211,1.052888031,1.348467211,1.078193602,1.085022522,1.196403467,1.362814891,1.172480735,1.327006358,1.305552228,1.230350459,1.318971593,1.217811467,1.39978812,1.272544628,1.218428069,1.37033544,1.239206237,1.32907353,1.265976243,1.322941109,1.261464639,1.282404459,1.290218007,1.304333158,1.312749957,1.324329095,1.351763811,1.212893558,1.292968457,1.262851621,1.255910339,1.324422949,1.296638291,1.292473668,1.331839593,1.263438071,1.289391106,1.282273469,1.27817477,1.307785451,1.272780435,1.320339373,1.30168772,1.269697855,1.264396839,1.314101132,1.306798983,1.28446886,1.281433117,1.272742711,1.320528316,1.297219878,1.292067322,1.308491449,1.305668959,1.289846041,1.304070883,1.317101298,1.297118306,1.252557146,1.281267487,1.331621464,1.300636021,1.339921941,1.309139253,1.283647537,1.304625692,1.310948202,1.27882082,1.316444876,1.325220679,1.317879491,1.295923132,1.320567207,1.298806065,1.280448056,1.310612202,1.265821347,1.308097826,1.291948745,1.29893842,1.272994645,1.282587156,1.303807047,1.323722728,1.313611875,1.275347868,1.303607361,1.299670937,1.287787899,1.288162908,1.288623932,1.298961256,1.290307847,1.308778509,1.303069392,1.293840832,1.280978912,1.295724735,1.286613998,1.294664585,1.293249718,1.284800912,1.29549538,1.282286694,1.292982659,1.305657569,1.295755399,1.291929427,1.292871266,1.300690846,1.305624676,1.292073661,1.301345472,1.2894367,1.289458829,1.292884523,1.291368424,1.300416793,1.296084512,1.290283725,1.296072458,1.294791915,1.295058272,1.296388607,1.295251395,1.295150667,1.295204694,1.295120758,1.295495621,1.295410255,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",0.943471069,0.801250367,1.266946765,1.211266193,1.264446,1.525304264,1.211707118,1.076035653,1.629955254,1.197044143,1.287879177,1.225925598,1.474976093,1.056014407,1.263848983,1.037713185,1.356064594,1.349061708,1.139984625,1.359152815,1.308247601,1.355765477,1.349864083,1.292398214,1.252235263,1.263044001,1.377630758,1.293937623,1.264919723,1.310324525,1.301529582,1.30759626,1.309090973,1.157152649,1.323244692,1.179089464,1.26068253,1.283057798,1.194494074,1.326957362,1.277817893,1.283934656,1.286991952,1.356226778,1.311870185,1.29949759,1.27749971,1.264207417,1.295594528,1.309584313,1.242971284,1.352117454,1.306550794,1.177864851,1.307568833,1.275728335,1.294754309,1.345674437,1.370831003,1.325754866,1.350308762,1.335588017,1.320998756,1.354864119,1.31084357,1.314973382,1.28161887,1.282282775,1.291454112,1.28540202,1.292352896,1.324849884,1.245495084,1.258707333,1.322135334,1.318181915,1.307553859,1.277037944,1.289844676,1.32896679,1.3094207,1.306627451,1.31960494,1.281240775,1.304634238,1.29789375,1.300452446,1.301099819,1.308954654,1.297484083,1.313214166,1.288747957,1.302844939,1.288872164,1.278197056,1.282251572,1.278306584,1.288367965,1.284007036,1.308587017,1.303802602,1.282380342,1.290386114,1.317585128,1.302589288,1.306177224,1.292012337,1.311461311,1.29802235,1.305332996,1.297295784,1.284899601,1.289916289,1.301490528,1.302879305,1.296578722,1.296016278,1.296133717,1.294932891,1.296098671,1.295398421,1.297160565,1.298059651,1.2960838,1.296903225,1.290770141,1.296194659,1.293773737,1.295557989,1.295898831,1.295285703,1.29567465,1.295903562,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)",1.30466209,1.026930183,0.958065209,1.395376222,1.049840053,1.140124349,1.340081221,1.426001608,1.145033645,1.562052958,1.267402066,1.167390874,1.285716348,1.282277876,1.330952025,1.282981702,1.418380241,1.33966244,1.202465207,1.44210387,1.303292532,1.188999684,1.348649797,1.366290312,1.313241763,1.246387661,1.372868065,1.24079531,1.249174422,1.313118776,1.234212275,1.310446895,1.266078265,1.376648559,1.219039857,1.276630483,1.314671876,1.26375423,1.305115487,1.29506144,1.246614284,1.3040354,1.274902777,1.320264078,1.263751714,1.30410119,1.258253352,1.37599243,1.280274505,1.318061081,1.30190573,1.273702081,1.318380701,1.285545223,1.291689493,1.291720057,1.320486728,1.329239122,1.303155943,1.327376345,1.314459377,1.299067715,1.283577542,1.294658716,1.290693575,1.276391269,1.279809188,1.293753443,1.3131613,1.293943349,1.311521073,1.287074512,1.271832545,1.302308511,1.278507358,1.306104985,1.318351004,1.298703035,1.287067468,1.291335471,1.311177517,1.285193998,1.304489415,1.302314005,1.287549134,1.299564725,1.28668796,1.311656579,1.300860179,1.287905567,1.29150584,1.302812558,1.296505953,1.302459014,1.30707311,1.29826145,1.283175341,1.298462862,1.299115277,1.294589751,1.295980307,1.294659159,1.2964998,1.290773887,1.292600741,1.286968875,1.296510838,1.292840522,1.296436814,1.300214473,1.296467126,1.288267547,1.296322748,1.297025716,1.294375753,1.299543725,1.294481426,1.293967398,1.295214186,1.297509352,1.293087871,1.293159287,1.300232665,1.295811149,1.29523057,1.296573061,1.29560909,1.29542001,1.296194456,1.295183442,1.295601955,1.29558573,1.295375518,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C20H20O7/c1-22-13-7-6-11(8-15(13)23-2)14-9-12(21)18-16(27-14)10-17(24-3)19(25-4)20(18)26-5/h6-10H,1-5H3",1.902864092,1.263646665,1.096526481,1.280316108,1.018510981,0.623366381,1.233212868,1.513938228,1.095864273,1.908430508,1.473514895,0.896119551,1.35451816,1.164013085,1.387942221,1.132860512,1.400541634,1.521938787,1.093071436,1.677528391,1.283267951,1.175191554,1.429396096,1.403130067,1.293968984,1.159466329,1.331837396,1.241313653,1.374074259,1.312390516,1.293385004,1.18494482,1.347591517,1.328847849,1.378850241,1.349541762,1.285495932,1.277934347,1.289257152,1.267080835,1.253894414,1.246069266,1.236163488,1.297505012,1.301812783,1.23827189,1.366746314,1.299968205,1.264462112,1.276340537,1.231690892,1.276058988,1.261166856,1.31459727,1.33316795,1.172702492,1.338384266,1.334317491,1.272877486,1.267505331,1.260515073,1.257978661,1.301406412,1.251606851,1.326643218,1.2612251,1.259188486,1.333180812,1.275317472,1.284129477,1.298815986,1.300164203,1.30415349,1.346308735,1.250932532,1.303795049,1.320502779,1.294009591,1.273518513,1.300928777,1.303348928,1.272093903,1.288820229,1.298506489,1.306782896,1.289952853,1.305840618,1.322089874,1.273416552,1.292127556,1.315915173,1.304659772,1.300405111,1.289091825,1.308189838,1.296380336,1.297755558,1.303404027,1.303964972,1.298324585,1.286423535,1.281232685,1.283896196,1.294237108,1.282968873,1.29134834,1.292057604,1.282035765,1.298649931,1.293819428,1.300369874,1.29526512,1.297260912,1.298735654,1.294484603,1.304064494,1.295310935,1.291988013,1.295820895,1.294464525,1.295697808,1.290881475,1.292483262,1.297246236,1.294410185,1.296514063,1.296662966,1.295028145,1.296329307,1.295593731,1.295714532,1.295592568,1.295317493,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
